S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
185,2025-11-10,441.0,448.6,428.6,433.3,-1.5,"26,547.00","11,632,550.20"
186,2025-11-09,419.1,452.9,416.0,439.9,4.22,"56,050.00","24,437,513.40"
187,2025-11-06,424.0,430.0,417.8,422.1,-0.45,"19,186.00","8,121,419.50"
188,2025-11-05,420.0,430.0,415.0,424.0,-0.7,"18,083.00","7,583,120.50"
189,2025-11-04,433.0,445.5,420.0,427.0,-2.29,"21,850.00","9,433,240.50"
190,2025-11-03,433.0,447.8,429.0,437.0,-0.91,"32,879.00","14,376,208.40"
191,2025-11-02,440.0,446.7,432.0,441.0,0.85,"40,403.00","17,824,989.30"
192,2025-10-30,409.0,448.8,409.0,437.3,5.37,"40,896.00","17,641,471.40"
193,2025-10-29,412.1,430.0,412.0,415.0,-0.93,"23,621.00","9,912,225.50"
194,2025-10-28,394.0,418.9,394.0,418.9,4.2,"21,817.00","8,983,025.90"
195,2025-10-26,407.9,415.0,400.0,402.0,-1.45,"8,288.00","3,342,287.50"
196,2025-10-19,400.0,424.0,397.2,407.9,1.98,"11,705.00","4,736,892.10"
197,2025-10-16,411.0,411.0,397.1,400.0,-2.84,"22,993.00","9,256,608.00"
198,2025-10-15,417.2,417.2,403.1,411.7,0.64,"21,279.00","8,754,046.00"
199,2025-10-14,416.0,420.0,408.5,409.1,-2.6,"14,035.00","5,780,607.60"
200,2025-10-13,408.1,423.8,403.0,420.0,2.44,"28,114.00","11,671,207.90"
201,2025-10-12,423.5,440.5,407.0,410.0,-5.09,"34,247.00","14,197,767.30"
202,2025-10-09,440.0,460.0,430.1,432.0,0.0,"26,983.00","11,896,247.40"
203,2025-10-08,444.9,444.9,426.7,432.0,-2.9,"32,690.00","14,117,892.40"
204,2025-10-07,459.0,460.0,440.0,444.9,-3.07,"34,673.00","15,448,204.60"
205,2025-09-28,455.0,463.0,451.2,459.0,0.0,"20,632.00","9,462,162.20"
206,2025-09-25,470.0,477.0,450.1,459.0,-0.43,"47,055.00","21,955,924.60"
207,2025-09-24,449.8,469.2,433.1,461.0,2.49,"36,839.00","16,664,271.50"
208,2025-09-23,437.0,453.5,437.0,449.8,2.81,"40,917.00","18,336,233.40"
209,2025-09-21,410.0,445.0,395.0,437.52,5.17,"45,519.00","19,548,353.70"
210,2025-09-18,449.8,449.8,413.1,416.0,-9.35,"1,814.00","786,893.50"
211,2025-09-08,470.0,483.8,455.1,458.92,-3.55,"53,608.00","24,974,366.20"
212,2025-09-07,490.0,499.0,475.0,475.82,-3.92,"52,696.00","25,475,251.50"
213,2025-09-04,475.0,500.0,474.0,495.24,2.52,"57,229.00","27,598,746.00"
214,2025-09-03,485.1,515.0,472.1,483.06,-2.4,"71,659.00","34,887,081.40"
215,2025-09-02,520.0,520.0,493.0,494.94,-4.04,"75,879.00","37,822,884.90"
216,2025-09-01,543.0,543.0,512.0,515.8,-4.88,"176,864.00","91,630,544.20"
217,2025-08-31,580.2,625.7,521.0,542.27,-4.68,"328,282.00","180,510,324.80"
218,2025-08-28,527.5,568.9,527.5,568.9,10.0,"34,970.00","19,892,587.00"
219,2025-08-27,477.0,517.2,477.0,517.2,10.0,"2,420.00","1,249,378.00"
220,2025-08-26,436.0,470.2,436.0,470.2,9.99,750.00,"351,809.00"
221,2025-08-25,383.2,427.5,383.2,427.5,9.98,885.00,"376,241.50"
222,2025-08-24,346.8,388.7,346.8,388.7,9.99,545.00,"209,516.50"
223,2025-08-21,320.0,353.4,320.0,353.4,9.99,490.00,"171,408.90"
224,2025-08-20,292.1,321.3,292.1,321.3,10.0,320.00,"100,791.70"
